BV号：BV1t6UWYCEy1
标题：BV1t6UWYCEy1
链接：https://www.bilibili.com/video/BV1t6UWYCEy1
识别语言：zh
语言置信度：1
分段数：58
生成时间：2026-04-03 07:35:36

[00:00:00 - 00:00:02] 运动康复它是有两个含义的
[00:00:02 - 00:00:03] 来 家长 我给你看一下
[00:00:03 - 00:00:06] 你说的是这个
[00:00:06 - 00:00:08] 体育学类里边的这个运动康复
[00:00:08 - 00:00:09] 对吧
[00:00:09 - 00:00:10] 然后的话呢
[00:00:10 - 00:00:12] 但是我跟你说的是什么呢
[00:00:12 - 00:00:13] 家长 注意一下
[00:00:13 - 00:00:14] 它这个是属于什么学类
[00:00:14 - 00:00:15] 您看一下属于体育学类
[00:00:15 - 00:00:17] 它并不属于医学类
[00:00:17 - 00:00:18] 能明白吗
[00:00:18 - 00:00:19] 能明白
[00:00:19 - 00:00:22] 比如说运动康复和所谓的医学当中
[00:00:22 - 00:00:23] 有没有运动康复
[00:00:23 - 00:00:25] 医学当中也有运动康复
[00:00:25 - 00:00:26] 但是医学当中的运动康复
[00:00:26 - 00:00:28] 并不在绑块阶段招
[00:00:28 - 00:00:30] 他只在研究生阶段照
[00:00:30 - 00:00:31] 是凝床医学类的
[00:00:31 - 00:00:33] 那这里边他有一个什么差别呢
[00:00:33 - 00:00:34] 加拿注意
[00:00:34 - 00:00:36] 一个是属于康复理疗时
[00:00:36 - 00:00:38] 一个是属于运动队的对医
[00:00:38 - 00:00:40] 比如说加拿我给你举个简单的例子
[00:00:40 - 00:00:41] 我说我今天我比赛
[00:00:41 - 00:00:42] 比赛结束以后的话
[00:00:42 - 00:00:44] 我记住疲劳了
[00:00:44 - 00:00:46] 我需要找一个理疗师过按摩一下
[00:00:46 - 00:00:48] 这个就是这个运动康复
[00:00:48 - 00:00:50] 但是如果说现在一个运动员
[00:00:50 - 00:00:52] 发生了非常非常严重的运动损伤
[00:00:52 - 00:00:54] 比如说他半月版什么断裂了
[00:00:54 - 00:00:56] 或者说跟剑断裂了需要做手术
[00:00:56 - 00:00:58] 这个是运动队的对抑
[00:00:58 - 00:01:01] 他专门是给运动员做这方面的手术的
[00:01:01 - 00:01:03] 因为他很多的运动员的很多伤病
[00:01:03 - 00:01:05] 他不是我们普通人
[00:01:05 - 00:01:07] 他去能够能够能够能够得的
[00:01:07 - 00:01:08] 就比如说举个例子
[00:01:08 - 00:01:10] 比如说半月版什么什么什么跟剑断裂
[00:01:10 - 00:01:11] 什么韧带撕裂
[00:01:11 - 00:01:13] 你说一个普通人
[00:01:13 - 00:01:14] 你走路走路走路走路
[00:01:14 - 00:01:15] 怎么可能韧带撕裂呢
[00:01:15 - 00:01:18] 那只有运动员可能会有这样的这样的伤
[00:01:18 - 00:01:21] 然后的话专门有医生去专门做这种手术
[00:01:21 - 00:01:23] 那这种手术是有专门的
[00:01:23 - 00:01:23] 叫临床医学
[00:01:23 - 00:01:25] 他是有土庄权的大夫
[00:01:26 - 00:01:28] 那如果说你要学的这种专业的话呢
[00:01:28 - 00:01:29] 他不是一个一一时
[00:01:29 - 00:01:31] 他最多是一个理聊时
[00:01:31 - 00:01:32] 你懂我的意思吗
[00:01:32 - 00:01:33] 所以说如果说你想
[00:01:33 - 00:01:34] 你要跟孩子商量清楚
[00:01:34 - 00:01:38] 就是他到底是想当运动队的理聊时
[00:01:38 - 00:01:40] 还是要当运动队的对一
