BV号：BV1bu4m1P7gy
标题：BV1bu4m1P7gy
链接：https://www.bilibili.com/video/BV1bu4m1P7gy
识别语言：zh
语言置信度：1
分段数：43
生成时间：2026-04-03 12:34:04

[00:00:00 - 00:00:01] 各位家人你要知道
[00:00:01 - 00:00:02] 有的说我在直播间给大家说这些
[00:00:02 - 00:00:06] 我真的是怕大家的孩子将来后悔
[00:00:06 - 00:00:07] 就是我希望我们的孩子
[00:00:07 - 00:00:10] 能够在年轻的时候知道他想要什么
[00:00:10 - 00:00:12] 有的孩子觉得自己是那种很理想的人
[00:00:12 - 00:00:16] 但是其实没有你想象当中那么理想
[00:00:16 - 00:00:16] 你懂吗
[00:00:16 - 00:00:19] 你没有你想象当中那么理想
[00:00:19 - 00:00:21] 你没有你想象当中那么凶脆
[00:00:21 - 00:00:22] 那么情高
[00:00:22 - 00:00:23] 文人默克
[00:00:23 - 00:00:25] 说我生活得很窘迫
[00:00:25 - 00:00:27] 但是我很开心
[00:00:27 - 00:00:28] 你真的吗
[00:00:28 - 00:00:31] 古代世人那種追求那種所謂的風雅
[00:00:31 - 00:00:33] 你真的是那種嗎
[00:00:33 - 00:00:36] 你真的在面對一些世俗的眼光的時候
[00:00:36 - 00:00:38] 不會被世俗給影響嗎
[00:00:38 - 00:00:41] 如果你真是那太好了
[00:00:41 - 00:00:44] 但如果你不是你別裝
[00:00:44 - 00:00:46] 因為你到最後你會後悔的
[00:00:46 - 00:00:48] 一你浪費國家的科研資源
[00:00:48 - 00:00:51] 二你還耽誤你自己的世界
[00:00:51 - 00:00:52] 你說導致的這個作業不掙錢
[00:00:52 - 00:00:54] 我就不選這個了
[00:00:54 - 00:00:55] 你是這樣的人嗎
[00:00:55 - 00:00:58] 承认是自己是这样的人没什么不好的
[00:00:58 - 00:01:00] 有的人羞于承认
[00:01:00 - 00:01:02] 我是个独心人
[00:01:02 - 00:01:05] 我怎么能对钱感兴趣呢
[00:01:05 - 00:01:07] 羞于承认
[00:01:07 - 00:01:10] 你直接承认没什么不好的
[00:01:10 - 00:01:11] 我就是个俗人
[00:01:11 - 00:01:13] 又怎样承认自己俗
[00:01:13 - 00:01:15] 是美德
[00:01:15 - 00:01:15] 知道吧真的
[00:01:15 - 00:01:18] 所以说这个得先跟孩子说清楚问清楚
[00:01:18 - 00:01:21] 孩子承认自己是个俗人
[00:01:21 - 00:01:22] 没有那么不堪
[00:01:22 - 00:01:23] 对吧
[00:01:23 - 00:01:23] 挺好的
[00:01:23 - 00:01:25] 你觉得我自己你想要什么
